"","LS","rolling-LS","Kalman"
"volatility",0.000961,0.000982,0.000704
"StdDev Sharpe (Rf=0%, p=95%):",0.05048,0.032425,0.014489
"VaR Sharpe (Rf=0%, p=95%):",0.034155,0.022289,0.009267
"ES Sharpe (Rf=0%, p=95%):",0.02301,0.016852,0.005584
"holding_period",46.5,33.75,15.4
"cumulative return",0.019793,0.012944,0.004204
